title,filename,tm,phi,uri,doi,edcs,edr,epicum,0,term_cert_0,term_key_0,term_ref_0,term_text_0,0,term_key_1,term_ref_1,term_text_1
I.Sicily inscription 0225,isic0225,285233,,http://sicily.classics.ox.ac.uk/inscription/isic0225,10.5281/zenodo.4334644,22100143,127460,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3844,isic3844,,334268,http://sicily.classics.ox.ac.uk/inscription/isic3844,10.5281/zenodo.4381752,,,,,,,,,,,,
I.Sicily inscription 3482,isic3482,645103,336186,http://sicily.classics.ox.ac.uk/inscription/isic3482,10.5281/zenodo.4388648,,,,,,,,,,,,
I.Sicily inscription 0196,isic0196,285220,,http://sicily.classics.ox.ac.uk/inscription/isic0196,10.5281/zenodo.4334512,22100123,127381,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary (?),,,,
I.Sicily inscription 1066,isic1066,492693,331914,http://sicily.classics.ox.ac.uk/inscription/isic1066,10.5281/zenodo.4385429,39102221,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3254,isic3254,285131,,http://sicily.classics.ox.ac.uk/inscription/isic3254,10.5281/zenodo.4357933,13801799,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3803,isic3803,,334206,http://sicily.classics.ox.ac.uk/inscription/isic3803,10.5281/zenodo.4381656,,,,,,,,,,,,
I.Sicily inscription 0441,isic0441,491669,,http://sicily.classics.ox.ac.uk/inscription/isic0441,10.5281/zenodo.4335688,21900503,,,,,ignoratur,https://www.eagle-network.eu/voc/typeins/lod/143.html,Unknown,,,,
I.Sicily inscription 2968,isic2968,645324,175464,http://sicily.classics.ox.ac.uk/inscription/isic2968,10.5281/zenodo.4387813,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 1277,isic1277,491445,330069,http://sicily.classics.ox.ac.uk/inscription/isic1277,10.5281/zenodo.4352279,39101646,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3793,isic3793,,334192,http://sicily.classics.ox.ac.uk/inscription/isic3793,10.5281/zenodo.4381620,,,,,,,,,,,,
I.Sicily inscription 1005,isic1005,492632,140483,http://sicily.classics.ox.ac.uk/inscription/isic1005,10.5281/zenodo.4351376,39102159,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3608,isic3608,645681,,http://sicily.classics.ox.ac.uk/inscription/isic3608,10.5281/zenodo.4388817,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3109,isic3109,645454,336511,http://sicily.classics.ox.ac.uk/inscription/isic3109,10.5281/zenodo.4357152,,,,,,dedication,http://www.eagle-network.eu/voc/typeins/lod/88.html,dedication,,,,
Sarcophagus of Adelphia,isic0404,491615,,http://sicily.classics.ox.ac.uk/inscription/isic0404,10.5281/zenodo.4335552,21900445,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0227,isic0227,285305,,http://sicily.classics.ox.ac.uk/inscription/isic0227,10.5281/zenodo.4334650,10900662,127531,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 1381,isic1381,492995,140887,http://sicily.classics.ox.ac.uk/inscription/isic1381,10.5281/zenodo.4385860,39101762,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3632,isic3632,284834,,http://sicily.classics.ox.ac.uk/inscription/isic3632,10.5281/zenodo.4388868,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 2906,isic2906,645299,,http://sicily.classics.ox.ac.uk/inscription/isic2906,10.5281/zenodo.4387727,57100044,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary (?),,,,
I.Sicily inscription 2815,isic2815,645212,334401,http://sicily.classics.ox.ac.uk/inscription/isic2815,10.5281/zenodo.4387439,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3087,isic3087,645438,331402,http://sicily.classics.ox.ac.uk/inscription/isic3087,10.5281/zenodo.4357144,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3634,isic3634,491405,,http://sicily.classics.ox.ac.uk/inscription/isic3634,10.5281/zenodo.4381428,23900186,,,,,honorific,http://www.eagle-network.eu/voc/typeins/lod/69.html,honorific,,,,
I.Sicily inscription 3141,isic3141,645482,329953,http://sicily.classics.ox.ac.uk/inscription/isic3141,10.5281/zenodo.4388209,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 0073,isic0073,644808,,http://sicily.classics.ox.ac.uk/inscription/isic0073,10.5281/zenodo.4384234,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3565,isic3565,175860,336965,http://sicily.classics.ox.ac.uk/inscription/isic3565,10.5281/zenodo.4388774,65100060,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3096,isic3096,645444,331421,http://sicily.classics.ox.ac.uk/inscription/isic3096,10.5281/zenodo.4388121,,,,,,funerary,http://www.eagle-network.eu/voc/typeins/lod/92.html,funerary,,,,
I.Sicily inscription 3976,isic3976,,334456,http://sicily.classics.ox.ac.uk/inscription/isic3976,10.5281/zenodo.4389491,,,,,,,,,,,,
