title,idno,terms
I.Sicily inscription 4013,"{'filename': 'isic4013', 'phi': '334513', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic4013', 'doi': '10.5281/zenodo.4389579'}",[]
Opus signinum inscription of Gnaius Modius,"{'filename': 'isic3391', 'tm': '494029', 'edcs': '70901044', 'phi': '330096', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3391', 'doi': '10.5281/zenodo.4358482'}","[{'key': 'ownership', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/105.html', 'text': 'ownership'}]"
I.Sicily inscription 2914,"{'filename': 'isic2914', 'tm': '645304', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2914', 'doi': '10.5281/zenodo.4387743'}","[{'key': '', 'text': '(?)'}]"
I.Sicily inscription 3643,"{'filename': 'isic3643', 'tm': '645709', 'edcs': '70900827', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3643', 'doi': '10.5281/zenodo.4388888'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0397,"{'filename': 'isic0397', 'tm': '491608', 'edr': '141215', 'edcs': '21900438', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0397', 'doi': '10.5281/zenodo.4384405'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3364,"{'filename': 'isic3364', 'tm': '644869', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3364', 'doi': '10.5281/zenodo.4388449'}","[{'key': '', 'text': '(?)'}]"
"
Funerary altar for Titus Flavius
","{'filename': 'isic0352', 'tm': '491561', 'edr': '139603', 'edcs': '21900390', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0352', 'doi': '10.5281/zenodo.4335470'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0071,"{'filename': 'isic0071', 'tm': '491822', 'edcs': '22100026', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0071', 'doi': '10.5281/zenodo.4333988'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary (?)'}]"
I.Sicily inscription 0912,"{'filename': 'isic0912', 'tm': '492542', 'edcs': '39102069', 'phi': '140393', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0912', 'doi': '10.5281/zenodo.4340038'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3630,"{'filename': 'isic3630', 'tm': '645702', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3630', 'doi': '10.5281/zenodo.4388864'}",[]
I.Sicily inscription 3156,"{'filename': 'isic3156', 'tm': '285101', 'edcs': '600739', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3156', 'doi': '10.5281/zenodo.4357206'}","[{'key': '', 'text': '(?)'}]"
I.Sicily inscription 4057,"{'filename': 'isic4057', 'phi': '334574', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic4057', 'doi': '10.5281/zenodo.4389714'}",[]
"Epitaph for Nemeris, a goldsmith","{'filename': 'isic1207', 'tm': '492811', 'edr': '147872', 'edcs': '39101571', 'phi': '175729', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1207', 'doi': '10.5281/zenodo.4352214'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3283,"{'filename': 'isic3283', 'tm': '645551', 'phi': '316261', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3283', 'doi': '10.5281/zenodo.4358041'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 4271,"{'filename': 'isic4271', 'phi': '334868', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic4271', 'doi': '10.5281/zenodo.4390269'}",[]
I.Sicily inscription 0665,"{'filename': 'isic0665', 'tm': '491374', 'edcs': '5000362', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0665', 'doi': '10.5281/zenodo.4385126'}","[{'key': 'building', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/86.html', 'text': 'building (?)'}]"
I.Sicily inscription 4000,"{'filename': 'isic4000', 'phi': '334494', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic4000', 'doi': '10.5281/zenodo.4389547'}",[]
Dedication to Nemesis,"{'filename': 'isic0010', 'tm': '491770', 'edr': '137593', 'edcs': '22000854', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0010', 'doi': '10.5281/zenodo.4333755'}","[{'key': 'dedication', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/88.html', 'text': 'dedication'}]"
I.Sicily inscription 4192,"{'filename': 'isic4192', 'phi': '334747', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic4192', 'doi': '10.5281/zenodo.4390041'}",[]
I.Sicily inscription 2809,"{'filename': 'isic2809', 'tm': '645206', 'phi': '334371', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2809', 'doi': '10.5281/zenodo.4387427'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 2881,"{'filename': 'isic2881', 'tm': '645274', 'phi': '334770', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2881', 'doi': '10.5281/zenodo.4387601'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 2984,"{'filename': 'isic2984', 'tm': '175842', 'edr': '073827', 'edcs': '13900574', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2984', 'doi': '10.5281/zenodo.4387867'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1076,"{'filename': 'isic1076', 'tm': '492704', 'edcs': '39102233', 'phi': '140558', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1076', 'doi': '10.5281/zenodo.4385447'}","[{'key': 'decree', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/384.html', 'text': 'decree'}]"
I.Sicily inscription 1591,"{'filename': 'isic1591', 'tm': '645048', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1591', 'doi': '10.5281/zenodo.4386147'}","[{'key': 'dedication', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/88.html', 'text': 'dedication'}]"
I.Sicily inscription 3683,"{'filename': 'isic3683', 'phi': '140928', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3683', 'doi': '10.5281/zenodo.4388952'}","[{'key': 'honorific', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/69.html', 'text': 'honorific'}]"
I.Sicily inscription 1146,"{'filename': 'isic1146', 'tm': '492759', 'edcs': '39102303', 'phi': '140631', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1146', 'doi': '10.5281/zenodo.4385532'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
Latin fragment mentioning a basilica,"{'filename': 'isic0802', 'tm': '175720', 'edr': '075542', 'edcs': '9401426', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0802', 'doi': '10.5281/zenodo.4339508'}","[{'key': 'honorific', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/69.html', 'text': 'honorific(?)'}]"
I.Sicily inscription 0731,"{'filename': 'isic0731', 'tm': '493955', 'edcs': '32701114', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0731', 'doi': '10.5281/zenodo.4338961'}","[{'key': '', 'text': '(?)'}]"
I.Sicily inscription 3360,"{'filename': 'isic3360', 'tm': '644865', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3360', 'doi': '10.5281/zenodo.4388444'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0269,"{'filename': 'isic0269', 'tm': '284763', 'edr': '033603', 'edcs': '21900299', 'phi': '313697', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0269', 'doi': '10.5281/zenodo.4334813'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 2940,"{'filename': 'isic2940', 'tm': '644849', 'edcs': '64400341', 'phi': '336183', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2940', 'doi': '10.5281/zenodo.4387767'}","[{'key': 'honorific', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/69.html', 'text': 'honorific'}]"
I.Sicily inscription 3739,"{'filename': 'isic3739', 'phi': '334127', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3739', 'doi': '10.5281/zenodo.4381492'}",[]
I.Sicily inscription 1586,"{'filename': 'isic1586', 'tm': '645043', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1586', 'doi': '10.5281/zenodo.4386137'}","[{'key': 'dedication', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/88.html', 'text': 'dedication'}]"
I.Sicily inscription 3832,"{'filename': 'isic3832', 'phi': '334255', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3832', 'doi': '10.5281/zenodo.4381736'}",[]
I.Sicily inscription 2778,"{'filename': 'isic2778', 'tm': '645175', 'phi': '334227', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2778', 'doi': '10.5281/zenodo.4355117'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 2981,"{'filename': 'isic2981', 'tm': '645334', 'phi': '175489', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2981', 'doi': '10.5281/zenodo.4387861'}","[{'key': '', 'text': '(?)'}]"
Fragment of a Greek inscription,"{'filename': 'isic3542', 'tm': '493879', 'edcs': '38200029', 'phi': '313677', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3542', 'doi': '10.5281/zenodo.4358708'}",[]
Small altar dedicated to Aphrodite,"{'filename': 'isic4405', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic4405', 'doi': '10.5281/zenodo.4381912'}","[{'key': 'dedication', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/88.html', 'text': 'dedication'}]"
Fragment,"{'filename': 'isic0476', 'tm': '491701', 'edr': '142398', 'edcs': '21900536', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0476', 'doi': '10.5281/zenodo.4337559'}","[{'key': 'unknown', 'ref': 'https://www.eagle-network.eu/voc/typeins/lod/143.html', 'text': 'unknown'}]"
I.Sicily inscription 0062,"{'filename': 'isic0062', 'tm': '285291', 'edr': '127514', 'edcs': '22100149', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0062', 'doi': '10.5281/zenodo.4333952'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1437,"{'filename': 'isic1437', 'tm': '644980', 'phi': '330372', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1437', 'doi': '10.5281/zenodo.4385934'}","[{'key': 'dedication', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/88.html', 'text': 'dedication'}]"
I.Sicily inscription 1285,"{'filename': 'isic1285', 'tm': '492890', 'edcs': '39101654', 'phi': '316311', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1285', 'doi': '10.5281/zenodo.4352295'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3201,"{'filename': 'isic3201', 'tm': '284888', 'edcs': '64400286', 'phi': '337020', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3201', 'doi': '10.5281/zenodo.4388394'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0128,"{'filename': 'isic0128', 'tm': '175694', 'edr': '077913', 'edcs': '8900391', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0128', 'doi': '10.5281/zenodo.4334229'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0685,"{'filename': 'isic0685', 'tm': '493937', 'edcs': '32701127', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0685', 'doi': '10.5281/zenodo.4385162'}","[{'key': '', 'text': '(?)'}]"
Cadastral inscription for the territory of Halaesa,"{'filename': 'isic1174', 'tm': '492780', 'edcs': '39102328', 'phi': '333187', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1174', 'doi': '10.5281/zenodo.4351707'}","[{'key': 'cadastral', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/48.html', 'text': 'cadastral'}]"
I.Sicily inscription 0057,"{'filename': 'isic0057', 'tm': '285311', 'edr': '127541', 'edcs': '22100105', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0057', 'doi': '10.5281/zenodo.4333930'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0523,"{'filename': 'isic0523', 'tm': '491746', 'edcs': '22000829', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0523', 'doi': '10.5281/zenodo.4384850'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 4233,"{'filename': 'isic4233', 'phi': '334800', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic4233', 'doi': '10.5281/zenodo.4390192'}",[]
I.Sicily inscription 1098,"{'filename': 'isic1098', 'tm': '492719', 'edcs': '39102255', 'phi': '140581', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1098', 'doi': '10.5281/zenodo.4385481'}","[{'key': 'honorific', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/69.html', 'text': 'honorific'}]"
I.Sicily inscription 2986,"{'filename': 'isic2986', 'tm': '645338', 'phi': '329611', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2986', 'doi': '10.5281/zenodo.4387871'}","[{'key': 'accounts', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/410.html', 'text': 'accounts'}]"
Epitaph for Aristoboula,"{'filename': 'isic4412', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic4412', 'doi': '10.5281/zenodo.4381932'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3638,"{'filename': 'isic3638', 'tm': '285179', 'edcs': '39101551', 'phi': '140931', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3638', 'doi': '10.5281/zenodo.4388878'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
Fragment of a Latin inscription recording building works,"{'filename': 'isic3153', 'tm': '653658', 'edr': '081506', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3153', 'doi': '10.5281/zenodo.4357194'}","[{'key': 'building', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/86.html', 'text': 'building'}]"
I.Sicily inscription 1536,"{'filename': 'isic1536', 'tm': '645035', 'phi': '331416', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1536', 'doi': '10.5281/zenodo.4354362'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 2793,"{'filename': 'isic2793', 'tm': '645190', 'phi': '334298', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2793', 'doi': '10.5281/zenodo.4387389'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3299,"{'filename': 'isic3299', 'tm': '645564', 'phi': '316285', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3299', 'doi': '10.5281/zenodo.4358101'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 2949,"{'filename': 'isic2949', 'tm': '644858', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2949', 'doi': '10.5281/zenodo.4387781'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
Fragment of a base,"{'filename': 'isic0475', 'tm': '491700', 'edr': '142397', 'edcs': '21900535', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0475', 'doi': '10.5281/zenodo.4337555'}","[{'key': 'unknown', 'ref': 'https://www.eagle-network.eu/voc/typeins/lod/143.html', 'text': 'unknown'}]"
I.Sicily inscription 0714,"{'filename': 'isic0714', 'tm': '644829', 'phi': '331951', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0714', 'doi': '10.5281/zenodo.4385210'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
"
Inscribed base of a dedication to Venus Victrix
","{'filename': 'isic0297', 'tm': '491509', 'edcs': '21900332', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0297', 'doi': '10.5281/zenodo.4334865'}","[{'key': 'dedication', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/88.html', 'text': 'dedication'}]"
I.Sicily inscription 1228,"{'filename': 'isic1228', 'tm': '492834', 'edcs': '39101594', 'phi': '140714', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1228', 'doi': '10.5281/zenodo.4385639'}","[{'key': 'honorific', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/69.html', 'text': 'honorific'}]"
I.Sicily inscription 1143,"{'filename': 'isic1143', 'tm': '492756', 'edcs': '39102300', 'phi': '140628', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1143', 'doi': '10.5281/zenodo.4351633'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0525,"{'filename': 'isic0525', 'tm': '491748', 'edcs': '22000831', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0525', 'doi': '10.5281/zenodo.4384854'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary (?)'}]"
I.Sicily inscription 3365,"{'filename': 'isic3365', 'tm': '644870', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3365', 'doi': '10.5281/zenodo.4388451'}","[{'key': 'building', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/86.html', 'text': 'building (?)'}]"
I.Sicily inscription 0611,"{'filename': 'isic0611', 'tm': '644871', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0611', 'doi': '10.5281/zenodo.4385066'}","[{'key': 'milestone', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/102', 'text': 'milestone'}]"
I.Sicily inscription 2713,"{'filename': 'isic2713', 'tm': '645133', 'phi': '333380', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2713', 'doi': '10.5281/zenodo.4354971'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 2901,"{'filename': 'isic2901', 'tm': '645294', 'phi': '334655', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2901', 'doi': '10.5281/zenodo.4387717'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1593,"{'filename': 'isic1593', 'tm': '645050', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1593', 'doi': '10.5281/zenodo.4386151'}","[{'key': 'dedication', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/88.html', 'text': 'dedication'}]"
I.Sicily inscription 1544,"{'filename': 'isic1544', 'tm': '493897', 'edr': '136089', 'edcs': '41300015', 'phi': '336056', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1544', 'doi': '10.5281/zenodo.4354378'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1203,"{'filename': 'isic1203', 'tm': '492807', 'edcs': '39101567', 'phi': '140687', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1203', 'doi': '10.5281/zenodo.4385595'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary (?)'}]"
I.Sicily inscription 3346,"{'filename': 'isic3346', 'tm': '645590', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3346', 'doi': '10.5281/zenodo.4388432'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
Epitaph of Trugete,"{'filename': 'isic3404', 'tm': '644949', 'phi': '140556', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3404', 'doi': '10.5281/zenodo.4358490'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0289,"{'filename': 'isic0289', 'tm': '491499', 'edcs': '21900322', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0289', 'doi': '10.5281/zenodo.4384259'}","[{'key': '', 'text': '(?)'}]"
I.Sicily inscription 3684,"{'filename': 'isic3684', 'phi': '140929', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3684', 'doi': '10.5281/zenodo.4388954'}","[{'key': '', 'text': '(?)'}]"
I.Sicily inscription 0078,"{'filename': 'isic0078', 'tm': '644813', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0078', 'doi': '10.5281/zenodo.4384244'}","[{'key': 'dedication', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/88.html', 'text': 'dedication (?)'}]"
I.Sicily inscription 2838,"{'filename': 'isic2838', 'tm': '645232', 'phi': '334515', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2838', 'doi': '10.5281/zenodo.4387487'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1472,"{'filename': 'isic1472', 'tm': '285070', 'edr': '107987', 'edcs': '64900710', 'phi': '330713', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1472', 'doi': '10.5281/zenodo.4354151'}","[{'key': '', 'text': '(?)'}]"
I.Sicily inscription 0786,"{'filename': 'isic0786', 'tm': '175680', 'edcs': '8600290', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0786', 'doi': '10.5281/zenodo.4385253'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3675,"{'filename': 'isic3675', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3675', 'doi': '10.5281/zenodo.4388936'}","[{'key': '', 'text': '(?)'}]"
I.Sicily inscription 0294,"{'filename': 'isic0294', 'tm': '491506', 'edcs': '21900329', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0294', 'doi': '10.5281/zenodo.4384273'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary (?)'}]"
I.Sicily inscription 3680,"{'filename': 'isic3680', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3680', 'doi': '10.5281/zenodo.4388946'}","[{'key': 'building', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/86.html', 'text': 'building (?)'}]"
I.Sicily inscription 1040,"{'filename': 'isic1040', 'tm': '492667', 'edr': '136341', 'edcs': '39102193', 'phi': '333747', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1040', 'doi': '10.5281/zenodo.4385377'}","[{'key': 'epigram', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/368.html', 'text': 'epigram'}]"
I.Sicily inscription 4094,"{'filename': 'isic4094', 'phi': '334625', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic4094', 'doi': '10.5281/zenodo.4389816'}",[]
I.Sicily inscription 4345,"{'filename': 'isic4345', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic4345', 'doi': '10.5281/zenodo.4390352'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1432,"{'filename': 'isic1432', 'tm': '285049', 'edcs': '64900779', 'phi': '175611', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1432', 'doi': '10.5281/zenodo.4354015'}","[{'key': 'honorific', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/69.html', 'text': 'honorific; signature\n                        (?)'}]"
I.Sicily inscription 3715,"{'filename': 'isic3715', 'edr': '136031', 'phi': '336051', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3715', 'doi': '10.5281/zenodo.4389033'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary (?)'}]"
I.Sicily inscription 3978,"{'filename': 'isic3978', 'phi': '334462', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3978', 'doi': '10.5281/zenodo.4389497'}",[]
I.Sicily inscription 3210,"{'filename': 'isic3210', 'tm': '493970', 'edr': '139554', 'edcs': '22200389', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3210', 'doi': '10.5281/zenodo.4357246'}","[{'key': '', 'text': '(?)'}]"
I.Sicily inscription 3048,"{'filename': 'isic3048', 'tm': '645402', 'phi': '334248', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3048', 'doi': '10.5281/zenodo.4357104'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 2900,"{'filename': 'isic2900', 'tm': '645293', 'phi': '334591', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2900', 'doi': '10.5281/zenodo.4387662'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
"
Fragmentary funerary inscription of Marcus Vipsanius Phoebus
","{'filename': 'isic3263', 'tm': '645544', 'phi': '316242', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3263', 'doi': '10.5281/zenodo.4357967'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0203,"{'filename': 'isic0203', 'tm': '285256', 'edr': '127471', 'edcs': '22100129', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0203', 'doi': '10.5281/zenodo.4334571'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
