title,idno,terms
I.Sicily inscription 2857,"{'filename': 'isic2857', 'tm': '645251', 'phi': '334534', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2857', 'doi': '10.5281/zenodo.4387537'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 2891,"{'filename': 'isic2891', 'tm': '645284', 'phi': '334422', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2891', 'doi': '10.5281/zenodo.4387627'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1222,"{'filename': 'isic1222', 'tm': '492828', 'edcs': '39101588', 'phi': '334597', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1222', 'doi': '10.5281/zenodo.4385621'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 2702,"{'filename': 'isic2702', 'tm': '645122', 'phi': '334230', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2702', 'doi': '10.5281/zenodo.4354951'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0533,"{'filename': 'isic0533', 'tm': '491756', 'edcs': '22000839', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0533', 'doi': '10.5281/zenodo.4384878'}","[{'key': 'dedication', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/88.html', 'text': 'dedication'}]"
I.Sicily inscription 2869,"{'filename': 'isic2869', 'tm': '645263', 'phi': '334557', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2869', 'doi': '10.5281/zenodo.4387563'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0638,"{'filename': 'isic0638', 'tm': '644880', 'phi': '332969', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0638', 'doi': '10.5281/zenodo.4338141'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3468,"{'filename': 'isic3468', 'tm': '285172', 'edr': '113430', 'edcs': '22100627', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3468', 'doi': '10.5281/zenodo.4388622'}","[{'key': 'honorific', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/69.html', 'text': 'honorific'}]"
I.Sicily inscription 0225,"{'filename': 'isic0225', 'tm': '285233', 'edr': '127460', 'edcs': '22100143', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0225', 'doi': '10.5281/zenodo.4334644'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3844,"{'filename': 'isic3844', 'phi': '334268', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3844', 'doi': '10.5281/zenodo.4381752'}",[]
I.Sicily inscription 3482,"{'filename': 'isic3482', 'tm': '645103', 'phi': '336186', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3482', 'doi': '10.5281/zenodo.4388648'}",[]
I.Sicily inscription 0196,"{'filename': 'isic0196', 'tm': '285220', 'edr': '127381', 'edcs': '22100123', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0196', 'doi': '10.5281/zenodo.4334512'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary (?)'}]"
I.Sicily inscription 1066,"{'filename': 'isic1066', 'tm': '492693', 'edcs': '39102221', 'phi': '331914', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1066', 'doi': '10.5281/zenodo.4385429'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3254,"{'filename': 'isic3254', 'tm': '285131', 'edcs': '13801799', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3254', 'doi': '10.5281/zenodo.4357933'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3803,"{'filename': 'isic3803', 'phi': '334206', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3803', 'doi': '10.5281/zenodo.4381656'}",[]
I.Sicily inscription 0441,"{'filename': 'isic0441', 'tm': '491669', 'edcs': '21900503', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0441', 'doi': '10.5281/zenodo.4335688'}","[{'key': 'ignoratur', 'ref': 'https://www.eagle-network.eu/voc/typeins/lod/143.html', 'text': 'Unknown'}]"
I.Sicily inscription 2968,"{'filename': 'isic2968', 'tm': '645324', 'phi': '175464', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2968', 'doi': '10.5281/zenodo.4387813'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1277,"{'filename': 'isic1277', 'tm': '491445', 'edcs': '39101646', 'phi': '330069', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1277', 'doi': '10.5281/zenodo.4352279'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3793,"{'filename': 'isic3793', 'phi': '334192', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3793', 'doi': '10.5281/zenodo.4381620'}",[]
I.Sicily inscription 1005,"{'filename': 'isic1005', 'tm': '492632', 'edcs': '39102159', 'phi': '140483', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1005', 'doi': '10.5281/zenodo.4351376'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3608,"{'filename': 'isic3608', 'tm': '645681', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3608', 'doi': '10.5281/zenodo.4388817'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3109,"{'filename': 'isic3109', 'tm': '645454', 'phi': '336511', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3109', 'doi': '10.5281/zenodo.4357152'}","[{'key': 'dedication', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/88.html', 'text': 'dedication'}]"
Sarcophagus of Adelphia,"{'filename': 'isic0404', 'tm': '491615', 'edcs': '21900445', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0404', 'doi': '10.5281/zenodo.4335552'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0227,"{'filename': 'isic0227', 'tm': '285305', 'edr': '127531', 'edcs': '10900662', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0227', 'doi': '10.5281/zenodo.4334650'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1381,"{'filename': 'isic1381', 'tm': '492995', 'edcs': '39101762', 'phi': '140887', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1381', 'doi': '10.5281/zenodo.4385860'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3632,"{'filename': 'isic3632', 'tm': '284834', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3632', 'doi': '10.5281/zenodo.4388868'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 2906,"{'filename': 'isic2906', 'tm': '645299', 'edcs': '57100044', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2906', 'doi': '10.5281/zenodo.4387727'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary (?)'}]"
I.Sicily inscription 2815,"{'filename': 'isic2815', 'tm': '645212', 'phi': '334401', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic2815', 'doi': '10.5281/zenodo.4387439'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3087,"{'filename': 'isic3087', 'tm': '645438', 'phi': '331402', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3087', 'doi': '10.5281/zenodo.4357144'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3634,"{'filename': 'isic3634', 'tm': '491405', 'edcs': '23900186', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3634', 'doi': '10.5281/zenodo.4381428'}","[{'key': 'honorific', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/69.html', 'text': 'honorific'}]"
I.Sicily inscription 3141,"{'filename': 'isic3141', 'tm': '645482', 'phi': '329953', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3141', 'doi': '10.5281/zenodo.4388209'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0073,"{'filename': 'isic0073', 'tm': '644808', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0073', 'doi': '10.5281/zenodo.4384234'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3565,"{'filename': 'isic3565', 'tm': '175860', 'edcs': '65100060', 'phi': '336965', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3565', 'doi': '10.5281/zenodo.4388774'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3096,"{'filename': 'isic3096', 'tm': '645444', 'phi': '331421', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3096', 'doi': '10.5281/zenodo.4388121'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3976,"{'filename': 'isic3976', 'phi': '334456', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3976', 'doi': '10.5281/zenodo.4389491'}",[]
I.Sicily inscription 0539,"{'filename': 'isic0539', 'tm': '491761', 'edcs': '22000844', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0539', 'doi': '10.5281/zenodo.4337863'}","[{'key': 'honorific', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/69.html', 'text': 'honorific;\n                        building (?)'}]"
I.Sicily inscription 0719,"{'filename': 'isic0719', 'tm': '175775', 'edcs': '6100278', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0719', 'doi': '10.5281/zenodo.4338923'}","[{'key': 'unknown', 'ref': 'https://www.eagle-network.eu/voc/typeins/lod/143.html', 'text': 'unknown'}]"
I.Sicily inscription 3513,"{'filename': 'isic3513', 'tm': '493843', 'edcs': '38200004', 'phi': '313629', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3513', 'doi': '10.5281/zenodo.4388698'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0797,"{'filename': 'isic0797', 'tm': '644899', 'edr': '140745', 'edcs': '41300107', 'phi': '175748', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0797', 'doi': '10.5281/zenodo.4339130'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0950,"{'filename': 'isic0950', 'tm': '492580', 'edcs': '39102107', 'phi': '140431', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0950', 'doi': '10.5281/zenodo.4340166'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
Epitaph for L. Roscius Rufus,"{'filename': 'isic0303', 'tm': '491513', 'edr': '139982', 'edcs': '21900338', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0303', 'doi': '10.5281/zenodo.4335077'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
epitaph of Truphon,"{'filename': 'isic3405', 'tm': '644950', 'phi': '140557', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3405', 'doi': '10.5281/zenodo.4358492'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
Funerary inscription for Athano,"{'filename': 'isic3374', 'tm': '645602', 'edcs': '60800081', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3374', 'doi': '10.5281/zenodo.4358460'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3798,"{'filename': 'isic3798', 'phi': '334199', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3798', 'doi': '10.5281/zenodo.4381640'}",[]
I.Sicily inscription 3225,"{'filename': 'isic3225', 'tm': '285114', 'edr': '121259', 'edcs': '9600754', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3225', 'doi': '10.5281/zenodo.4357308'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 3704,"{'filename': 'isic3704', 'phi': '178089', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3704', 'doi': '10.5281/zenodo.4389007'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0443,"{'filename': 'isic0443', 'tm': '491671', 'edcs': '21900505', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0443', 'doi': '10.5281/zenodo.4335692'}","[{'key': 'ignoratur', 'ref': 'https://www.eagle-network.eu/voc/typeins/lod/143.html', 'text': 'Unknown'}]"
I.Sicily inscription 3202,"{'filename': 'isic3202', 'tm': '175830', 'edr': '074061', 'edcs': '13700402', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic3202', 'doi': '10.5281/zenodo.4388396'}","[{'key': 'ignoratur', 'ref': 'https://www.eagle-network.eu/voc/typeins/lod/143.html', 'text': 'uncertain'}]"
I.Sicily inscription 0880,"{'filename': 'isic0880', 'tm': '492510', 'edcs': '39102037', 'phi': '140361', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0880', 'doi': '10.5281/zenodo.4339793'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0187,"{'filename': 'isic0187', 'tm': '285216', 'edr': '127388', 'edcs': '22100116', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0187', 'doi': '10.5281/zenodo.4334478'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0928,"{'filename': 'isic0928', 'tm': '492558', 'edcs': '39102085', 'phi': '140409', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0928', 'doi': '10.5281/zenodo.4340094'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0382,"{'filename': 'isic0382', 'tm': '491593', 'edr': '141194', 'edcs': '21900422', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0382', 'doi': '10.5281/zenodo.4384377'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 1324,"{'filename': 'isic1324', 'tm': '492930', 'edcs': '39101695', 'phi': '140818', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1324', 'doi': '10.5281/zenodo.4385797'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0020,"{'filename': 'isic0020', 'tm': '491780', 'edr': '137672', 'edcs': '22000864', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0020', 'doi': '10.5281/zenodo.4333796'}","[{'key': 'honorific', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/69.html', 'text': 'honorific'}]"
I.Sicily inscription 1527,"{'filename': 'isic1527', 'tm': '645027', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic1527', 'doi': '10.5281/zenodo.4354315'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0739,"{'filename': 'isic0739', 'tm': '175786', 'edr': '081529', 'edcs': '21900460', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0739', 'doi': '10.5281/zenodo.4338991'}","[{'key': 'seat inscription', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/111.html', 'text': 'seat\n                        inscription'}]"
I.Sicily inscription 0150,"{'filename': 'isic0150', 'tm': '284850', 'edr': '111046', 'edcs': '22100090', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0150', 'doi': '10.5281/zenodo.4334312'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 4218,"{'filename': 'isic4218', 'phi': '334779', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic4218', 'doi': '10.5281/zenodo.4390160'}",[]
I.Sicily inscription 0336,"{'filename': 'isic0336', 'tm': '491545', 'edcs': '21900374', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0336', 'doi': '10.5281/zenodo.4384312'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
I.Sicily inscription 0561,"{'filename': 'isic0561', 'tm': '491810', 'edcs': '22100013', 'uri': 'http://sicily.classics.ox.ac.uk/inscription/isic0561', 'doi': '10.5281/zenodo.4384938'}","[{'key': 'funerary', 'ref': 'http://www.eagle-network.eu/voc/typeins/lod/92.html', 'text': 'funerary'}]"
