 "concept" , "prefLabel" , "altLabel" , "related" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "Fragmentary statue base" , "https://www.eagle-network.eu/voc/objtyp/lod/1773" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "Fragmentary statue base" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "Base de statue, le dé" , "https://www.eagle-network.eu/voc/objtyp/lod/1773" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "Base de statue, le dé" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "base, statue" , "https://www.eagle-network.eu/voc/objtyp/lod/1773" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "base, statue" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "basis, statua" , "https://www.eagle-network.eu/voc/objtyp/lod/1773" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "basis, statua" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "basis statuae" , "https://www.eagle-network.eu/voc/objtyp/lod/1773" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "basis statuae" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "Basis, Statue" , "https://www.eagle-network.eu/voc/objtyp/lod/1773" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "Basis, Statue" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "heykel kaidesi" , "https://www.eagle-network.eu/voc/objtyp/lod/1773" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "heykel kaidesi" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "Statuenbasis" , "https://www.eagle-network.eu/voc/objtyp/lod/1773" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "Statuenbasis" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "szobortalapzat" , "https://www.eagle-network.eu/voc/objtyp/lod/1773" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "szobortalapzat" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , βάση αγάλματος , "https://www.eagle-network.eu/voc/objtyp/lod/1773" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , βάση αγάλματος , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "база, постамент, пьедестал" , "https://www.eagle-network.eu/voc/objtyp/lod/1773" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , "база, постамент, пьедестал" , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , قاعدة ، تمثال , "https://www.eagle-network.eu/voc/objtyp/lod/1773" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/57" , "Statue base" , قاعدة ، تمثال , "https://www.eagle-network.eu/voc/objtyp/lod/1772" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/284" , "Tintinnabulum" , "bell" , "https://www.eagle-network.eu/voc/objtyp/lod/1171" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/284" , "Tintinnabulum" , "campana" , "https://www.eagle-network.eu/voc/objtyp/lod/1171" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/284" , "Tintinnabulum" , "campanello" , "https://www.eagle-network.eu/voc/objtyp/lod/1171" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/284" , "Tintinnabulum" , "Glocke" , "https://www.eagle-network.eu/voc/objtyp/lod/1171" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/284" , "Tintinnabulum" , "καμπάνα, κουδούνι" , "https://www.eagle-network.eu/voc/objtyp/lod/1171" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/284" , "Tintinnabulum" , колокол , "https://www.eagle-network.eu/voc/objtyp/lod/1171" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/284" , "Tintinnabulum" , ناقوس , "https://www.eagle-network.eu/voc/objtyp/lod/1171" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/308" , "Cruche" , "Jarra" , "https://www.eagle-network.eu/voc/objtyp/lod/307" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/307" , "Vas, mensa" , "vessel" , "https://www.eagle-network.eu/voc/objtyp/lod/308" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/307" , "Vas, mensa" , "Vaso" , "https://www.eagle-network.eu/voc/objtyp/lod/308" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/216" , "Etruskischer Sarkophag" , "etruszk szarkofág" , "https://www.eagle-network.eu/voc/objtyp/lod/214" ,
 "https://www.eagle-network.eu/voc/objtyp/lod/216" , "Etruskischer Sarkophag" , "sarcophagus, Etruscus" , "https://www.eagle-network.eu/voc/objtyp/lod/214" ,
