concept,prefLabel,altLabel,related,X,EAGLE_lod_id
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , building text , https://www.eagle-network.eu/voc/typeins/lod/90 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , building text , https://www.eagle-network.eu/voc/typeins/lod/88 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , Building restoration , https://www.eagle-network.eu/voc/typeins/lod/356 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , Building restoration , https://www.eagle-network.eu/voc/typeins/lod/90 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , Building restoration , https://www.eagle-network.eu/voc/typeins/lod/88 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , restoration , https://www.eagle-network.eu/voc/typeins/lod/356 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , restoration , https://www.eagle-network.eu/voc/typeins/lod/90 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , restoration , https://www.eagle-network.eu/voc/typeins/lod/88 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , restoration works , https://www.eagle-network.eu/voc/typeins/lod/356 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , restoration works , https://www.eagle-network.eu/voc/typeins/lod/90 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , restoration works , https://www.eagle-network.eu/voc/typeins/lod/88 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , építési felirat , https://www.eagle-network.eu/voc/typeins/lod/356 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , építési felirat , https://www.eagle-network.eu/voc/typeins/lod/90 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , építési felirat , https://www.eagle-network.eu/voc/typeins/lod/88 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , Inscriptions sur un bâtiment public ou privé , https://www.eagle-network.eu/voc/typeins/lod/356 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , Inscriptions sur un bâtiment public ou privé , https://www.eagle-network.eu/voc/typeins/lod/90 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , Inscriptions sur un bâtiment public ou privé , https://www.eagle-network.eu/voc/typeins/lod/88 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , iscrizione edilizia , https://www.eagle-network.eu/voc/typeins/lod/356 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , iscrizione edilizia , https://www.eagle-network.eu/voc/typeins/lod/90 ,NA,86
 https://www.eagle-network.eu/voc/typeins/lod/86 , Bauinschrift , iscrizione edilizia , https://www.eagle-network.eu/voc/typeins/lod/88 ,NA,86
